EmployeeNumber,Gender,HourlyRate,JobRole,JobSatisfaction,NumCompaniesWorked,OverTime,PercentSalaryHike,new_hike,PerformanceRating,YearsSinceLastPromotion,Q2,Q3,Q4,
73,Female,98,Research Director,4,1,Yes,12,11,3,8,NA,Due for promotion,Not Top Leader,
74,Male,71,Sales Executive,1,1,No,22,23,4,1,NA, ,Not Leader,
75,Female,30,Laboratory Technician,1,3,Yes,15,14,3,2,NA, ,Not Leader,
76,Male,48,Laboratory Technician,4,3,No,22,23,4,1,NA, ,Not Leader,
77,Male,51,Manufacturing Director,3,1,No,18,17,3,0,NA, ,Not Top Leader,
78,Male,33,Manufacturing Director,4,1,Yes,22,23,4,7,NA,Due for promotion,Top Leader,
79,Female,50,Laboratory Technician,4,1,No,11,10,3,9,NA,Due for promotion,Not Leader,
80,Female,43,Research Director,3,5,Yes,12,11,3,13,NA,Due for promotion,Not Top Leader,
81,Female,99,Sales Executive,1,7,No,11,10,3,7,NA,Due for promotion,Not Leader,
83,Female,59,Healthcare Representative,3,1,No,13,12,3,12,NA,Due for promotion,Not Leader,
84,Female,33,Manager,3,2,Yes,14,13,3,0,NA, ,Not Top Leader,
85,Male,95,Manufacturing Director,2,1,No,13,12,3,0,NA, ,Not Top Leader,
86,Male,59,Research Scientist,1,2,No,17,16,3,0,NA, ,Not Leader,
88,Male,79,Research Scientist,1,4,No,13,12,3,1,NA, ,Not Leader,
90,Male,79,Research Scientist,3,0,Yes,17,16,3,0,NA, ,Not Leader,
91,Female,57,Sales Executive,3,7,No,11,10,3,1,NA, ,Not Leader,
94,Male,76,Research Scientist,2,0,No,23,24,4,0,NA, ,Not Leader,
95,Male,87,Research Scientist,2,1,No,17,16,3,1,NA, ,Not Leader,
96,Male,66,Research Scientist,2,1,No,17,16,3,0,NA, ,Not Leader,
97,Female,55,Laboratory Technician,4,3,No,12,11,3,0,NA, ,Not Leader,
98,Female,61,Manufacturing Director,4,1,No,23,24,4,1,NA, ,Not Top Leader,
100,Male,32,Sales Executive,1,0,No,14,13,3,2,NA, ,Not Leader,
101,Male,52,Research Director,1,4,Yes,14,13,3,0,NA, ,Not Top Leader,
102,Male,30,Research Director,3,4,No,13,12,3,0,NA, ,Not Top Leader,
103,Male,80,Human Resources,2,8,Yes,22,23,4,0,NA, ,Not Leader,
104,Male,55,Laboratory Technician,4,1,Yes,12,11,3,3,NA, ,Not Leader,
105,Male,30,Research Scientist,3,1,No,18,17,3,0,NA, ,Not Leader,
106,Male,70,Sales Executive,4,3,No,14,13,3,1,NA, ,Not Leader,
107,Female,79,Research Scientist,4,7,Yes,12,11,3,1,NA, ,Not Leader,
110,Male,94,Manufacturing Director,2,1,No,15,14,3,1,NA, ,Not Top Leader,
112,Male,49,Manufacturing Director,4,4,No,11,10,3,0,NA, ,Not Top Leader,
113,Male,62,Sales Representative,1,3,No,13,12,3,0,NA, ,Not Leader,
116,Male,96,Laboratory Technician,4,3,No,23,24,4,0,NA, ,Not Leader,
117,Male,99,Healthcare Representative,4,1,No,19,18,3,10,NA,Due for promotion,Not Leader,
118,Male,64,Sales Executive,4,1,No,16,15,3,4,NA, ,Not Leader,
119,Male,78,Healthcare Representative,2,1,No,22,23,4,11,NA,Due for promotion,Not Leader,
120,Male,71,Sales Executive,4,0,Yes,22,23,4,1,NA, ,Not Leader,
121,Female,63,Sales Executive,2,1,Yes,12,11,3,2,NA, ,Not Leader,
124,Male,40,Healthcare Representative,1,2,Yes,13,12,3,9,NA,Due for promotion,Not Leader,
125,Male,87,Sales Executive,3,1,No,16,15,3,5,NA, ,Not Leader,
126,Female,60,Research Director,3,9,No,12,11,3,0,NA, ,Not Top Leader,
128,Female,33,Sales Executive,3,0,No,21,22,4,0,NA, ,Not Leader,
129,Male,43,Sales Executive,3,1,No,15,14,3,0,NA, ,Not Leader,
131,Male,37,Sales Executive,3,0,No,13,12,3,1,NA, ,Not Leader,
132,Male,67,Laboratory Technician,2,4,No,12,11,3,1,NA, ,Not Leader,
133,Male,63,Human Resources,1,4,Yes,22,23,4,0,NA, ,Not Leader,
134,Male,71,Research Scientist,1,1,No,13,12,3,0,NA, ,Not Leader,
137,Female,66,Laboratory Technician,4,1,Yes,18,17,3,1,NA, ,Not Leader,
138,Female,41,Research Scientist,3,1,No,14,13,3,2,NA, ,Not Leader,
139,Male,100,Healthcare Representative,4,5,No,14,13,3,0,NA, ,Not Leader,
140,Female,32,Manager,4,9,No,21,22,4,2,NA, ,Not Top Leader,
141,Female,73,Research Director,2,3,Yes,19,18,3,0,NA, ,Not Top Leader,
142,Male,46,Sales Executive,3,1,Yes,11,10,3,0,NA, ,Not Leader,
143,Male,64,Research Scientist,4,1,No,11,10,3,2,NA, ,Not Leader,
144,Female,59,Laboratory Technician,4,1,No,15,14,3,0,NA, ,Not Leader,
145,Female,30,Healthcare Representative,1,3,No,20,21,4,12,NA,Due for promotion,Not Leader,
147,Male,66,Laboratory Technician,3,1,Yes,24,25,4,0,NA, ,Not Leader,
148,Female,30,Manager,4,2,Yes,12,11,3,4,NA, ,Not Top Leader,
150,Male,52,Laboratory Technician,3,0,No,12,11,3,1,NA, ,Not Leader,
151,Female,45,Research Scientist,2,6,No,15,14,3,0,NA, ,Not Leader,
152,Male,87,Sales Executive,4,2,No,12,11,3,1,NA, ,Not Leader,
153,Female,45,Manager,1,2,No,12,11,3,5,NA, ,Not Top Leader,
154,Female,92,Sales Executive,4,0,No,14,13,3,2,NA, ,Not Leader,
155,Female,39,Laboratory Technician,4,5,No,22,23,4,0,NA, ,Not Leader,
158,Male,92,Manager,4,1,Yes,12,11,3,4,NA, ,Not Top Leader,
159,Male,96,Research Scientist,3,1,No,25,26,4,0,NA, ,Not Leader,
160,Male,95,Sales Executive,2,0,No,13,12,3,0,NA, ,Not Leader,
161,Female,72,Research Scientist,2,9,Yes,18,17,3,4,NA, ,Not Leader,
162,Male,51,Research Director,3,7,No,13,12,3,15,NA,Due for promotion,Not Top Leader,
163,Male,76,Sales Executive,3,4,Yes,18,17,3,7,NA,Due for promotion,Not Leader,
164,Female,46,Research Scientist,2,1,No,19,18,3,4,NA, ,Not Leader,
165,Female,94,Healthcare Representative,4,1,No,12,11,3,15,NA,Due for promotion,Not Leader,
167,Male,50,Sales Representative,3,1,Yes,19,18,3,0,NA, ,Not Leader,
169,Male,100,Laboratory Technician,4,0,No,14,13,3,2,NA, ,Not Leader,
170,Female,96,Manufacturing Director,1,1,No,14,13,3,5,NA, ,Not Top Leader,
171,Female,72,Research Scientist,3,4,No,12,11,3,1,NA, ,Not Leader,
174,Female,77,Sales Executive,4,4,No,11,10,3,2,NA, ,Not Leader,
175,Female,71,Sales Executive,3,3,Yes,11,10,3,2,NA, ,Not Leader,
176,Male,96,Sales Executive,3,3,Yes,13,12,3,0,NA, ,Not Leader,
177,Female,61,Human Resources,3,1,No,23,24,4,5,NA, ,Not Leader,
178,Male,84,Manufacturing Director,2,6,No,20,21,4,0,NA, ,Not Top Leader,
179,Male,53,Manufacturing Director,4,2,No,15,14,3,0,NA, ,Not Top Leader,
182,Female,47,Sales Executive,3,4,No,14,13,3,5,NA, ,Not Leader,
183,Male,41,Sales Executive,3,2,No,18,17,3,2,NA, ,Not Leader,
184,Male,48,Human Resources,4,0,Yes,19,18,3,4,NA, ,Not Leader,
190,Female,41,Laboratory Technician,1,7,No,22,23,4,0,NA, ,Not Leader,
192,Male,83,Research Scientist,4,5,No,13,12,3,0,NA, ,Not Leader,
193,Female,32,Research Scientist,3,3,Yes,20,21,4,2,NA, ,Not Leader,
194,Female,75,Research Scientist,3,1,No,14,13,3,0,NA, ,Not Leader,
195,Male,35,Sales Executive,4,0,No,17,16,3,0,NA, ,Not Leader,
197,Female,84,Research Scientist,1,5,No,14,13,3,2,NA, ,Not Leader,
198,Male,35,Laboratory Technician,4,0,No,13,12,3,1,NA, ,Not Leader,
199,Male,91,Manager,1,4,No,13,12,3,7,NA,Due for promotion,Not Top Leader,
200,Male,94,Laboratory Technician,1,2,No,21,22,4,1,NA, ,Not Leader,
201,Female,79,Laboratory Technician,2,1,No,14,13,3,0,NA, ,Not Leader,
202,Female,54,Research Scientist,2,1,No,11,10,3,2,NA, ,Not Leader,
204,Male,94,Sales Executive,2,1,No,13,12,3,0,NA, ,Not Leader,
205,Male,34,Sales Representative,3,2,Yes,20,21,4,4,NA, ,Not Leader,
206,Male,60,Laboratory Technician,2,8,No,18,17,3,0,NA, ,Not Leader,
207,Female,43,Sales Executive,4,1,No,14,13,3,3,NA, ,Not Leader,
208,Male,41,Manufacturing Director,3,1,No,13,12,3,0,NA, ,Not Top Leader,
211,Male,34,Manufacturing Director,3,2,No,17,16,3,0,NA, ,Not Top Leader,
214,Female,75,Research Scientist,2,4,Yes,20,21,4,0,NA, ,Not Leader,
215,Male,67,Sales Executive,4,7,No,11,10,3,2,NA, ,Not Leader,
216,Female,75,Sales Representative,3,6,No,18,17,3,1,NA, ,Not Leader,
217,Male,80,Research Scientist,4,1,No,24,25,4,2,NA, ,Not Leader,
218,Male,57,Research Scientist,2,6,No,18,17,3,2,NA, ,Not Leader,
221,Male,42,Research Scientist,4,1,No,11,10,3,0,NA, ,Not Leader,
223,Male,83,Healthcare Representative,4,3,Yes,16,15,3,1,NA, ,Not Leader,
224,Male,79,Research Scientist,3,1,Yes,15,14,3,0,NA, ,Not Leader,
226,Female,53,Manager,2,3,No,15,14,3,4,NA, ,Not Top Leader,
227,Male,56,Research Scientist,3,4,No,12,11,3,1,NA, ,Not Leader,
228,Female,41,Sales Executive,4,2,No,12,11,3,7,NA,Due for promotion,Not Leader,
230,Female,59,Sales Executive,4,4,No,22,23,4,0,NA, ,Not Leader,
231,Male,43,Research Scientist,3,3,No,20,21,4,1,NA, ,Not Leader,
233,Male,51,Research Scientist,2,0,Yes,16,15,3,1,NA, ,Not Leader,
235,Female,100,Sales Representative,1,0,No,21,22,4,0,high-salary representative, ,Not Leader,
238,Male,30,Laboratory Technician,2,4,No,12,11,3,7,NA,Due for promotion,Not Leader,
239,Male,66,Laboratory Technician,1,1,No,11,10,3,6,NA,Due for promotion,Not Leader,
240,Female,30,Sales Executive,1,4,Yes,11,10,3,0,NA, ,Not Leader,
241,Female,67,Research Scientist,1,4,Yes,18,17,3,2,NA, ,Not Leader,
242,Male,90,Research Scientist,4,0,No,14,13,3,0,NA, ,Not Leader,
243,Male,47,Laboratory Technician,4,1,No,22,23,4,1,NA, ,Not Leader,
244,Female,92,Sales Executive,1,1,No,25,26,4,15,NA,Due for promotion,Not Leader,
245,Female,75,Laboratory Technician,4,1,No,12,11,3,2,NA, ,Not Leader,
246,Female,95,Research Scientist,4,8,Yes,23,24,4,0,NA, ,Not Leader,
247,Female,95,Research Scientist,2,2,No,15,14,3,1,NA, ,Not Leader,
248,Female,70,Sales Representative,2,1,Yes,22,23,4,0,NA, ,Not Leader,
249,Male,86,Laboratory Technician,3,2,No,15,14,3,0,NA, ,Not Leader,
250,Female,57,Manufacturing Director,1,1,No,11,10,3,1,NA, ,Not Top Leader,
252,Female,72,Research Scientist,2,1,No,13,12,3,1,NA, ,Not Leader,
253,Female,46,Manager,3,1,No,14,13,3,9,NA,Due for promotion,Not Top Leader,
254,Male,61,Research Director,2,8,No,11,10,3,2,NA, ,Not Top Leader,
256,Male,45,Manufacturing Director,3,1,No,17,16,3,1,NA, ,Not Top Leader,
258,Female,98,Healthcare Representative,2,3,No,18,17,3,1,NA, ,Not Leader,
259,Male,65,Manager,3,0,No,14,13,3,11,NA,Due for promotion,Not Top Leader,
260,Female,99,Research Scientist,2,1,No,16,15,3,0,NA, ,Not Leader,
261,Male,50,Manufacturing Director,3,3,Yes,13,12,3,0,NA, ,Not Top Leader,
262,Male,37,Research Scientist,4,4,No,14,13,3,2,NA, ,Not Leader,
264,Male,65,Manager,4,9,No,23,24,4,11,NA,Due for promotion,Not Top Leader,
267,Male,65,Research Scientist,1,1,Yes,12,11,3,1,NA, ,Not Leader,
269,Female,37,Laboratory Technician,2,5,No,11,10,3,1,NA, ,Not Leader,
270,Female,36,Manufacturing Director,3,2,No,16,15,3,0,NA, ,Not Top Leader,
271,Male,88,Manufacturing Director,3,9,No,14,13,3,0,NA, ,Not Top Leader,
273,Male,54,Manufacturing Director,4,3,No,18,17,3,1,NA, ,Not Top Leader,
274,Male,60,Manufacturing Director,1,5,No,19,18,3,2,NA, ,Not Top Leader,
275,Male,92,Manufacturing Director,4,1,Yes,15,14,3,1,NA, ,Not Top Leader,
277,Male,43,Research Scientist,3,1,Yes,17,16,3,2,NA, ,Not Leader,
281,Male,99,Laboratory Technician,4,8,Yes,15,14,3,3,NA, ,Not Leader,
282,Male,70,Healthcare Representative,1,7,Yes,19,18,3,0,NA, ,Not Leader,
283,Female,35,Sales Executive,4,1,No,22,23,4,1,NA, ,Not Leader,
284,Male,60,Research Scientist,2,1,Yes,16,15,3,2,NA, ,Not Leader,
286,Female,73,Laboratory Technician,4,1,No,13,12,3,1,NA, ,Not Leader,
287,Male,63,Healthcare Representative,4,9,No,14,13,3,0,NA, ,Not Leader,
288,Male,97,Healthcare Representative,1,7,No,16,15,3,0,NA, ,Not Leader,
291,Male,32,Sales Executive,4,1,No,11,10,3,9,NA,Due for promotion,Not Leader,
292,Male,88,Manufacturing Director,3,1,No,22,23,4,5,NA, ,Not Top Leader,
293,Female,90,Sales Executive,3,1,No,14,13,3,0,NA, ,Not Leader,
296,Male,81,Research Director,2,5,No,16,15,3,4,NA, ,Not Top Leader,
297,Female,88,Research Scientist,1,5,Yes,11,10,3,0,NA, ,Not Leader,
298,Female,75,Manager,4,3,Yes,18,17,3,0,NA, ,Not Top Leader,
299,Female,52,Sales Executive,1,5,No,15,14,3,0,NA, ,Not Leader,
300,Male,85,Research Scientist,3,0,No,14,13,3,1,NA, ,Not Leader,
302,Female,57,Sales Executive,4,6,No,12,11,3,12,NA,Due for promotion,Not Leader,
303,Female,52,Sales Executive,1,2,No,14,13,3,0,NA, ,Not Leader,
304,Male,62,Laboratory Technician,2,8,No,16,15,3,3,NA, ,Not Leader,
305,Female,47,Research Scientist,2,6,No,21,22,4,1,NA, ,Not Leader,
306,Male,47,Research Director,4,1,Yes,14,13,3,0,NA, ,Not Top Leader,
307,Male,76,Sales Executive,3,0,No,12,11,3,5,NA, ,Not Leader,
308,Male,90,Manufacturing Director,3,0,No,12,11,3,1,NA, ,Not Top Leader,
309,Male,70,Research Scientist,4,3,No,17,16,3,0,NA, ,Not Leader,
311,Male,41,Sales Representative,4,4,No,17,16,3,5,NA, ,Not Leader,
312,Female,42,Sales Executive,4,1,No,14,13,3,4,NA, ,Not Leader,
314,Female,92,Sales Executive,3,1,No,14,13,3,0,NA, ,Not Leader,
315,Male,86,Research Scientist,4,1,Yes,13,12,3,0,NA, ,Not Leader,
316,Female,89,Laboratory Technician,4,7,No,15,14,3,2,NA, ,Not Leader,
319,Male,58,Manager,4,1,No,11,10,3,11,NA,Due for promotion,Not Top Leader,
321,Male,52,Human Resources,3,8,No,17,16,3,2,NA, ,Not Leader,
323,Female,68,Manager,4,3,No,11,10,3,0,NA, ,Not Top Leader,
325,Male,58,Laboratory Technician,4,5,Yes,13,12,3,0,NA, ,Not Leader,
327,Female,80,Manager,4,5,Yes,22,23,4,1,NA, ,Top Leader,
328,Female,39,Laboratory Technician,1,7,No,20,21,4,1,NA, ,Not Leader,
329,Male,79,Manager,3,1,Yes,18,17,3,15,NA,Due for promotion,Not Top Leader,
330,Female,56,Sales Representative,2,2,No,11,10,3,1,NA, ,Not Leader,
331,Male,62,Laboratory Technician,3,0,Yes,14,13,3,1,NA, ,Not Leader,
332,Female,96,Laboratory Technician,3,7,No,14,13,3,1,NA, ,Not Leader,
333,Male,100,Sales Executive,4,0,No,18,17,3,2,NA, ,Not Leader,
334,Male,36,Research Scientist,1,2,No,16,15,3,0,NA, ,Not Leader,
335,Male,62,Research Scientist,4,1,No,17,16,3,4,NA, ,Not Leader,
336,Male,70,Manager,4,0,No,11,10,3,1,NA, ,Not Top Leader,
337,Male,73,Research Director,3,9,No,12,11,3,2,NA, ,Not Top Leader,
338,Female,63,Research Scientist,4,1,No,13,12,3,0,NA, ,Not Leader,
339,Male,84,Manufacturing Director,1,6,No,13,12,3,5,NA, ,Not Top Leader,
340,Female,83,Research Scientist,1,2,No,14,13,3,0,NA, ,Not Leader,
341,Male,77,Manufacturing Director,3,4,No,17,16,3,0,NA, ,Not Top Leader,
342,Male,61,Manufacturing Director,3,6,No,11,10,3,0,NA, ,Not Top Leader,
343,Female,64,Healthcare Representative,3,0,No,25,26,4,11,NA,Due for promotion,Not Leader,
346,Male,60,Research Scientist,4,1,No,19,18,3,1,NA, ,Not Leader,
347,Female,82,Research Scientist,1,3,Yes,13,12,3,0,NA, ,Not Leader,
349,Male,45,Sales Executive,4,2,No,14,13,3,0,NA, ,Not Leader,
350,Female,62,Manufacturing Director,3,0,No,12,11,3,1,NA, ,Not Top Leader,
351,Female,56,Laboratory Technician,1,0,Yes,11,10,3,7,NA,Due for promotion,Not Leader,
352,Male,49,Research Director,3,0,No,19,18,3,3,NA, ,Not Top Leader,
353,Male,96,Research Scientist,4,1,No,11,10,3,0,NA, ,Not Leader,
355,Male,71,Laboratory Technician,2,0,No,11,10,3,1,NA, ,Not Leader,
359,Male,100,Laboratory Technician,2,1,No,20,21,4,0,NA, ,Not Leader,
361,Male,39,Sales Executive,4,3,No,18,17,3,7,NA,Due for promotion,Not Leader,
362,Male,84,Laboratory Technician,1,4,No,13,12,3,0,NA, ,Not Leader,
363,Female,75,Manager,2,3,Yes,12,11,3,7,NA,Due for promotion,Not Top Leader,
364,Male,79,Laboratory Technician,3,2,No,11,10,3,0,NA, ,Not Leader,
366,Male,78,Sales Executive,2,2,No,19,18,3,0,NA, ,Not Leader,
367,Male,64,Healthcare Representative,4,0,No,21,22,4,7,NA,Due for promotion,Not Leader,
369,Male,85,Healthcare Representative,1,1,No,12,11,3,1,NA, ,Not Leader,
372,Male,79,Healthcare Representative,4,0,Yes,14,13,3,4,NA, ,Not Leader,
373,Male,47,Laboratory Technician,4,0,No,11,10,3,10,NA,Due for promotion,Not Leader,
374,Male,81,Manager,1,0,Yes,14,13,3,4,NA, ,Not Top Leader,
376,Male,88,Manager,2,1,Yes,12,11,3,9,NA,Due for promotion,Not Top Leader,
377,Male,94,Research Scientist,4,1,No,23,24,4,0,NA, ,Not Leader,
378,Male,98,Sales Executive,4,4,No,14,13,3,0,NA, ,Not Leader,
379,Male,100,Research Scientist,3,1,No,17,16,3,1,NA, ,Not Leader,
380,Female,80,Research Director,4,2,Yes,18,17,3,0,NA, ,Not Top Leader,
381,Female,71,Manager,2,7,No,18,17,3,6,NA,Due for promotion,Not Top Leader,
382,Female,44,Sales Executive,1,1,Yes,24,25,4,7,NA,Due for promotion,Not Leader,
384,Female,84,Manufacturing Director,2,1,No,20,21,4,1,NA, ,Not Top Leader,
385,Male,96,Research Director,2,3,No,14,13,3,1,NA, ,Not Top Leader,
386,Male,45,Research Director,3,3,Yes,16,15,3,1,NA, ,Not Top Leader,
387,Male,99,Sales Executive,3,1,No,25,26,4,11,NA,Due for promotion,Not Leader,
388,Male,44,Sales Executive,4,1,No,18,17,3,0,NA, ,Not Leader,
389,Male,37,Laboratory Technician,4,3,Yes,19,18,3,0,NA, ,Not Leader,
390,Male,60,Healthcare Representative,1,1,Yes,13,12,3,3,NA, ,Not Leader,
391,Female,42,Research Scientist,4,1,No,12,11,3,5,NA, ,Not Leader,
392,Male,43,Laboratory Technician,3,3,Yes,22,23,4,0,NA, ,Not Leader,
393,Male,82,Healthcare Representative,4,9,No,14,13,3,1,NA, ,Not Leader,
394,Male,45,Laboratory Technician,2,2,Yes,13,12,3,0,NA, ,Not Leader,
395,Female,66,Research Scientist,4,1,No,21,22,4,0,NA, ,Not Leader,
396,Female,35,Research Director,1,9,Yes,11,10,3,1,NA, ,Not Top Leader,
397,Male,30,Research Scientist,2,4,No,12,11,3,7,NA,Due for promotion,Not Leader,
399,Female,84,Sales Representative,2,1,No,11,10,3,2,high-salary representative, ,Not Leader,
401,Male,48,Sales Executive,4,1,Yes,12,11,3,7,NA,Due for promotion,Not Leader,
403,Male,53,Research Scientist,4,1,Yes,12,11,3,1,NA, ,Not Leader,
404,Female,77,Sales Executive,2,5,No,14,13,3,4,NA, ,Not Leader,
405,Male,54,Laboratory Technician,3,1,No,13,12,3,0,NA, ,Not Leader,
406,Male,96,Sales Executive,2,0,No,15,14,3,6,NA,Due for promotion,Not Leader,
407,Male,81,Laboratory Technician,4,4,No,18,17,3,0,NA, ,Not Leader,
408,Male,84,Manufacturing Director,2,5,No,18,17,3,1,NA, ,Not Top Leader,
410,Male,88,Manager,2,1,No,19,18,3,0,NA, ,Not Top Leader,
411,Female,69,Sales Representative,3,1,No,12,11,3,0,NA, ,Not Leader,
412,Male,68,Healthcare Representative,1,0,No,19,18,3,0,NA, ,Not Leader,
416,Male,100,Sales Executive,4,4,No,11,10,3,7,NA,Due for promotion,Not Leader,
417,Male,48,Healthcare Representative,4,0,No,17,16,3,3,NA, ,Not Leader,
419,Female,47,Laboratory Technician,2,7,No,15,14,3,0,NA, ,Not Leader,
420,Male,91,Sales Executive,3,1,No,14,13,3,4,NA, ,Not Leader,
421,Female,81,Research Director,2,3,No,17,16,3,0,NA, ,Not Top Leader,
422,Male,32,Healthcare Representative,3,2,Yes,13,12,3,1,NA, ,Not Leader,
423,Male,86,Research Scientist,4,0,Yes,12,11,3,0,NA, ,Not Leader,
424,Male,62,Human Resources,1,3,No,12,11,3,1,NA, ,Not Leader,
425,Male,97,Laboratory Technician,1,1,No,18,17,3,9,NA,Due for promotion,Not Leader,
426,Male,32,Research Scientist,4,0,Yes,18,17,3,2,NA, ,Not Leader,
428,Female,74,Manager,2,6,No,11,10,3,8,NA,Due for promotion,Not Top Leader,
429,Male,99,Manager,1,1,Yes,14,13,3,11,NA,Due for promotion,Not Top Leader,
430,Female,33,Laboratory Technician,4,0,No,19,18,3,1,NA, ,Not Leader,
431,Female,90,Healthcare Representative,3,7,Yes,12,11,3,0,NA, ,Not Leader,
433,Male,85,Research Scientist,2,2,No,15,14,3,7,NA,Due for promotion,Not Leader,
434,Female,85,Research Scientist,2,1,Yes,12,11,3,1,NA, ,Not Leader,
436,Female,65,Sales Executive,2,1,Yes,11,10,3,11,NA,Due for promotion,Not Leader,
437,Male,74,Sales Executive,3,1,Yes,11,10,3,0,NA, ,Not Leader,
438,Male,73,Sales Executive,4,4,No,12,11,3,1,NA, ,Not Leader,
439,Female,74,Research Scientist,4,7,No,16,15,3,0,NA, ,Not Leader,
440,Male,84,Research Scientist,4,5,Yes,13,12,3,2,NA, ,Not Leader,
441,Female,64,Research Scientist,4,1,No,13,12,3,1,NA, ,Not Leader,
442,Female,48,Manufacturing Director,3,1,No,24,25,4,8,NA,Due for promotion,Not Top Leader,
444,Male,54,Manager,4,1,No,15,14,3,13,NA,Due for promotion,Not Top Leader,
445,Female,41,Sales Executive,3,4,Yes,18,17,3,0,NA, ,Not Leader,
